Graph2
Time (Seconds),Data (Meters),Data0 (Meters)
860.899963,-2.029285,-0.983518
860.949951,-2.025224,-0.986513
861.000000,-2.021123,-0.989289
861.049988,-2.016754,-0.991870
861.099976,-2.012411,-0.994215
861.150024,-2.007884,-0.996386
861.200012,-2.003250,-0.998285
861.250000,-1.998527,-0.999962
861.299988,-1.993760,-1.001390
861.349976,-1.988896,-1.002595
861.400024,-1.984017,-1.003556
861.450012,-1.979049,-1.004260
861.500000,-1.974132,-1.004717
861.550049,-1.969088,-1.004930
861.599976,-1.964103,-1.004890
861.649963,-1.959113,-1.004603
861.699951,-1.954139,-1.004070
861.749939,-1.949191,-1.003302
861.799988,-1.944279,-1.002290
861.849976,-1.939461,-1.001040
861.899963,-1.934716,-0.999548
861.950012,-1.929992,-0.997810
862.000000,-1.925415,-0.995853
862.049988,-1.920911,-0.993685
862.099976,-1.916502,-0.991344
862.149963,-1.912222,-0.988722
862.200012,-1.908098,-0.985972
862.250000,-1.904042,-0.982974
862.299988,-1.900195,-0.979843
862.350037,-1.896432,-0.976486
862.400024,-1.892881,-0.973024
862.450012,-1.889432,-0.969339
862.500000,-1.886203,-0.965564
862.549927,-1.883127,-0.961635
862.599976,-1.880202,-0.957534
862.649963,-1.877499,-0.953346
862.699951,-1.874956,-0.949047
862.750000,-1.872589,-0.944698
862.799988,-1.870385,-0.940181
862.849976,-1.868378,-0.935621
862.899963,-1.866585,-0.930911
862.949951,-1.864973,-0.926256
863.000000,-1.863494,-0.921416
863.049988,-1.862244,-0.916621
863.099976,-1.861155,-0.911675
863.150024,-1.860272,-0.906763
863.200012,-1.859559,-0.901816
863.250000,-1.859024,-0.896864
863.299988,-1.858662,-0.891865
863.349976,-1.858466,-0.886889
863.400024,-1.858436,-0.881848
863.450012,-1.858564,-0.876885
863.500000,-1.858851,-0.871892
863.550049,-1.859293,-0.866900
863.599976,-1.859879,-0.861934
